title,original_abstract,generated_abstract,original_id,created,categories
"Inverse reinforcement learning for autonomous navigation via
  differentiable semantic mapping and planning","This paper focuses on inverse reinforcement learning for autonomous
navigation using distance and semantic category observations. The objective is
to infer a cost function that explains demonstrated behavior while relying only
on the expert's observations and state-control trajectory. We develop a map
encoder, that infers semantic category probabilities from the observation
sequence, and a cost encoder, defined as a deep neural network over the
semantic features. Since the expert cost is not directly observable, the model
parameters can only be optimized by differentiating the error between
demonstrated controls and a control policy computed from the cost estimate. We
propose a new model of expert behavior that enables error minimization using a
closed-form subgradient computed only over a subset of promising states via a
motion planning algorithm. Our approach allows generalizing the learned
behavior to new environments with new spatial configurations of the semantic
categories. We analyze the different components of our model in a minigrid
environment. We also demonstrate that our approach learns to follow traffic
rules in the autonomous driving CARLA simulator by relying on semantic
observations of buildings, sidewalks, and road lanes.","Title: Autonomous Navigation through Inverse Reinforcement Learning using Differentiable Semantic Mapping and Planning

Revised Abstract: This study addresses the application of inverse reinforcement learning in autonomous navigation, utilizing both distance and semantic category observations. The goal is to decipher a cost function that elucidates displayed behavior, depending entirely on observations made by the expert and the trajectory of state-control. We introduce a map encoder that deduces semantic category probabilities from the sequence of observations, alongside a cost encoder, characterized as a deep neural network spanning the semantic features. With the expert cost being unobservable directly, the optimization of model parameters can only be achieved by differentiating the discrepancy between demonstrated controls and a control policy derived from the cost estimation. We advocate a novel model of expert behavior which facilitates error reduction by employing a closed-form subgradient, calculated solely over a selection of promising states via a motion planning algorithm. Our methodology enables the extrapolation of the acquired behavior to fresh environments featuring new spatial arrangements of semantic categories. We evaluate the distinct elements of our model within a minigrid environment and substantiate that our method is capable of adhering to traffic regulations in the CARLA simulator for autonomous driving, dependent on semantic observations of structures, sidewalks, and road lanes.",oai:arXiv.org:2101.00186,2021-01-01,"['cs.LG', 'cs.RO']"
"A Separable Temporal Convolution Neural Network with Attention for
  Small-Footprint Keyword Spotting","Keyword spotting (KWS) on mobile devices generally requires a small memory
footprint. However, most current models still maintain a large number of
parameters in order to ensure good performance. To solve this problem, this
paper proposes a separable temporal convolution neural network with attention,
it has a small number of parameters. Through the time convolution combined with
attention mechanism, a small number of parameters model (32.2K) is implemented
while maintaining high performance. The proposed model achieves 95.7% accuracy
on the Google Speech Commands dataset, which is close to the performance of
Res15(239K), the state-of-the-art model in KWS at present.","Title: Implementing a Temporally Separable Convolution Neural Network with Attention for Efficient Keyword Spotting

Revised Abstract: The challenge of implementing keyword spotting (KWS) on mobile platforms typically lies in balancing the small memory footprint requirement with the need for performance efficiency. Existing models tend to retain a high number of parameters to optimize performance, leading to significant memory usage. This study presents a novel approach through a temporally separable convolution neural network imbued with an attention mechanism, characterized by a minimized parameter count. Utilizing temporal convolution in conjunction with an attention mechanism, the model maintains high performance while implementing a significantly reduced parameter model (32.2K). With a remarkable accuracy of 95.7% on the Google Speech Commands dataset, the proposed model's performance closely rivals that of the current state-of-the-art KWS model, Res15 (with 239K parameters).",oai:arXiv.org:2109.00260,2021-09-01,"['cs.SD', 'eess.AS']"
Pseudo-Spherical Contrastive Divergence,"Energy-based models (EBMs) offer flexible distribution parametrization.
However, due to the intractable partition function, they are typically trained
via contrastive divergence for maximum likelihood estimation. In this paper, we
propose pseudo-spherical contrastive divergence (PS-CD) to generalize maximum
likelihood learning of EBMs. PS-CD is derived from the maximization of a family
of strictly proper homogeneous scoring rules, which avoids the computation of
the intractable partition function and provides a generalized family of
learning objectives that include contrastive divergence as a special case.
Moreover, PS-CD allows us to flexibly choose various learning objectives to
train EBMs without additional computational cost or variational minimax
optimization. Theoretical analysis on the proposed method and extensive
experiments on both synthetic data and commonly used image datasets demonstrate
the effectiveness and modeling flexibility of PS-CD, as well as its robustness
to data contamination, thus showing its superiority over maximum likelihood and
$f$-EBMs.","Title: An Advanced Approach to Contrastive Divergence: The Pseudo-Spherical Technique

Reinterpreted Abstract: Flexible distribution parameterization is a key advantage of Energy-based models (EBMs), although their use is typically hampered by the unmanageable partition function, leading to the adoption of contrastive divergence for maximum likelihood approximation. This paper presents a novel approach - the pseudo-spherical contrastive divergence (PS-CD) - which expands the scope of maximum likelihood training of EBMs. PS-CD is the result of maximizing a series of strictly proper homogeneous scoring rules, thereby circumventing the need to compute the complex partition function. This method also introduces a comprehensive suite of learning objectives, incorporating contrastive divergence as a particular instance. PS-CD offers the flexibility to select diverse learning objectives for EBM training, without incurring extra computational expenses or requiring variational minimax optimization. Detailed theoretical examination of our proposed technique and numerous experiments on both synthetic data and widely recognized image datasets underscore the efficiency, versatility, and robustness of PS-CD, even in the presence of data contamination. These results highlight its superiority over existing methods such as maximum likelihood and $f$-EBMs.",oai:arXiv.org:2111.00780,2021-11-01,['cs.LG']
Extending Harvey's Surface Kernel Maps,"Let $S$ be a compact Riemann surface and $G$ a group of conformal
automorphisms of $S$ with $S_0 = S/G$. $S$ is a finite regular branched cover
of $S_0$. If $U$ denotes the unit disc, let $\Gamma$ and $\Gamma_0$ be the
Fuchsian groups with $S = U/{\Gamma}$ and $S_0 = U/{\Gamma_0}$. There is a
group homomorphism of $\Gamma_0$ onto $G$ with kernel $\Gamma$ and this is
termed a surface kernel map. Two surface kernel maps are equivalent if they
differ by an automorphism of $\Gamma_0$. In his 1971 paper Harvey showed that
when $G$ is a cyclic group, there is a unique simplest representative for this
equivalence class. His result has played an important role in establishing
subsequent results about conformal automorphism groups of surfaces. We extend
his result to some surface kernel maps onto arbitrary finite groups. These can
be used along with the Schreier-Reidemeister Theory to find a set of generators
for $\Gamma$ and the action of $G$ as an outer automorphism group on the
fundamental group of $S$ putting the action on the fundamental group and the
induced action on homology into a relatively simple format. As an example we
compute generators for the fundamental group and a homology basis together with
the action of $G$ when $G$ is ${\mathcal{S}_3$, the symmetric group on three
letters. The action of $G$ shows that the homology basis found is not an
adapted homology basis.","Title: Broadening the Scope of Harvey's Surface Kernel Maps

Revised Abstract: Consider a compact Riemann surface, $S$, and a conformal automorphism group, $G$, such that $S_0 = S/G$. This configuration represents $S$ as a regular finite branched cover over $S_0$. Given the unit disc, $U$, the Fuchsian groups $\Gamma$ and $\Gamma_0$ are defined with $S = U/{\Gamma}$ and $S_0 = U/{\Gamma_0}$. A group homomorphism from $\Gamma_0$ onto $G$ with kernel $\Gamma$ is classified as a surface kernel map. Two such maps are considered equivalent if a $\Gamma_0$ automorphism separates them. In 1971, Harvey demonstrated that a unique simplest representative exists for this equivalence class when $G$ represents a cyclic group. This finding has proven foundational in the development of further results concerning conformal automorphism groups of surfaces. The present work broadens Harvey's finding to certain surface kernel maps onto arbitrary finite groups. This expansion facilitates the application of Schreier-Reidemeister Theory to determine a set of generators for $\Gamma$ and the operation of $G$ as an outer automorphism group on $S$'s fundamental group. This places the action on the fundamental group and the subsequent homology action into a more comprehensible context. An illustrative example is provided whereby the generators for the fundamental group and a homology basis are computed in conjunction with the action of $G$ when $G$ is $\mathcal{S}_3$ - the symmetric group on three letters. The $G$ action reveals that the discovered homology basis is not an adapted homology basis.",oai:arXiv.org:2105.00161,2021-05-01,['math.GR']
"Families of hybridizable interior penalty discontinuous Galerkin methods
  for degenerate advection-diffusion-reaction problems","We analyze families of primal high-order hybridizable discontinuous Galerkin
(HDG) methods for solving degenerate (second-order) elliptic problems. One
major trouble regarding this class of PDEs concerns its mathematical nature,
which may be nonuniform over the domain. Due to the local degeneracy of the
diffusion term, it can be purely hyperbolic in a subregion and elliptic in the
rest. This problem is thus quite delicate to solve since the exact solution is
discontinuous at interfaces separating both elliptic and hyperbolic parts. The
proposed HDG method is developed in a unified and compact fashion. It can
efficiently handle pure diffusive or advective regimes and intermediate regimes
that combine the above mechanisms for a wide range of P\'eclet numbers,
including the delicate situation of local evanescent diffusion. To this end, an
adaptive stabilization strategy based on the addition of jump-penalty terms is
then considered. A $\theta$-upwind-based scheme is favored for the hyperbolic
region, and an inspired Scharfetter--Gummel-based technique is preferred for
the elliptic region. The well-posedness of the HDG method is also discussed by
analyzing the consistency and discrete coercivity properties. Extensive
numerical experiments are finally considered to verify the model's robustness
for all the abovementioned regimes.","Title: Investigation into Hybridizable Discontinuous Galerkin Methods for Degenerate Advection-Diffusion-Reaction Issues

New Abstract: This study delves into the analysis of a group of primal high-order hybridizable discontinuous Galerkin (HDG) methodologies for addressing degenerate second-order elliptic challenges. A significant concern with this type of PDEs is their inherent mathematical complexity, which may exhibit non-uniformity throughout the domain. The local degeneracy in the diffusion term can create a purely hyperbolic subregion and an elliptic region elsewhere. The complexity of finding a solution is increased due to the discontinuity at the interfaces that separate the elliptic and hyperbolic sections. The HDG method proposed herein is structured in a unified and compact manner, capable of effectively managing pure diffusive or advective regimes and mixed regimes across a broad spectrum of Péclet numbers, inclusive of localized evanescent diffusion scenarios. An adjustable stabilization approach, incorporating jump-penalty terms, is therefore proposed. A θ-upwind-based scheme is prioritized for the hyperbolic area, while a Scharfetter–Gummel-inspired method is favoured for the elliptic area. The well-posedness of the HDG method is deliberated upon by scrutinizing its consistency and discrete coercivity characteristics. Extensive numerical testing is performed to affirm the model's reliability for all mentioned regimes.",oai:arXiv.org:2106.00226,2021-06-01,"['math.NA', 'cs.NA', 'math.AP']"
"A Modified Dynamic Time Warping (MDTW) Approach and Innovative Average
  Non-Self Match Distance (ANSD) Method for Anomaly Detection in ECG Recordings","ECGs objectively reflects the working conditions of the hearts as these
signals contain vast physiological and pathological information. In this work,
in order to improve the efficiency and accuracy of ""best so far"" time series
analysis-based ECG anomaly detection methods, a novel method, comprising a
modified dynamic time warping (MDTW) and an innovative average non-self match
distance (ANSD) measure, is proposed for ECG anomaly detection. To evaluate the
performance of the proposed method, the proposed method is applied to real ECG
data selected from the MIT-BIH heartbeat database. To provide a reference for
comparison, two existing anomaly detection methods, namely, brute force discord
discovery (BFDD) and adaptive window discord discovery (AWDD), are also applied
to the same data. The experimental results show that our proposed method
outperforms BFDD and AWD.","Title: Enhanced Efficiency and Accuracy in ECG Anomaly Detection: A Novel Method Combining Modified Dynamic Time Warping (MDTW) and Average Non-Self Match Distance (ANSD)

Revised Abstract: 
The Electrocardiogram (ECG) is a vital tool in the evaluation of heart performance, providing a wealth of both physiological and pathological data. This study introduces a new method for the detection of anomalies in ECG records to augment the efficacy and precision of existing time series analysis-based detection techniques. This novel approach utilizes a modified version of dynamic time warping (MDTW) combined with an innovative measure of average non-self match distance (ANSD). The efficacy of the newly proposed method was assessed by applying it to real ECG data from the MIT-BIH heartbeat database. In order to benchmark the results, the same data were also subjected to two current anomaly detection techniques: brute force discord discovery (BFDD) and adaptive window discord discovery (AWDD). The empirical findings demonstrate that the newly developed approach surpasses the performance of both BFDD and AWDD in detecting anomalies.",oai:arXiv.org:2111.00803,2021-11-01,['eess.SP']
Enhanced Multigradient Dilution Preparation,"Abstract: In our paper the new algorithm enhanced multi gradient Dilution
Preparation (EMDP) is discussed. This new algorithm is reported with a lab on
chip or digital Microfluidic biochip to operate multiple operation on a tiny
chip. We can use Digital Microfluidic biochip to operate multiple operation on
a tiny chip. Samples are very costly which are used in any Biochemical
laboratory Protocols. For the case of fast and high throughput application, It
is essential to minimize the cost of operations and the time of operations and
that is why one of the most challenging and important phase is sample
preparation. In our proposed algorithm, we have hide to reduce sample droplets
and waste droplets and for this purpose waste recycling is used, when different
series of multi gradient targets concentration factors (CFS) are generated. We
have compared our proposed algorithm with recent dilution techniques such as
MTC, REMIA, and WARA. For the storage of intermediate droplets which, and
generated during this process, on chip storage space 0(n) is needed. Key words:
Digital microfluidic Biochip, Drug discovery, sample preparation, Electro
wetting.","Title: Advancements in Multigradient Dilution Preparation: An Enhanced Approach

Revised Abstract: This study elaborates on a novel algorithm termed as Enhanced Multigradient Dilution Preparation (EMDP). This innovative algorithm is applied using a lab-on-chip or digital Microfluidic biochip, enabling the execution of manifold operations on a minuscule chip. The digital Microfluidic biochip offers an invaluable solution to perform multiple tasks on a compact chip. Given that the specimens used in any Biochemical lab protocols are highly expensive, it becomes crucial, especially for rapid and high throughput applications, to cut down the operational costs and time. Therefore, sample preparation emerges as a critical and challenging phase. Our proposed algorithm is designed to decrease the number of sample droplets and waste droplets, incorporating waste recycling when different sequences of multigradient target concentration factors (CFS) are produced. We evaluated our proposed algorithm against recent dilution methods like MTC, REMIA, and WARA. To store the intermediate droplets produced during this process, an on-chip storage space of 0(n) is required. Key words: Digital Microfluidic Biochip, Drug Discovery, Sample Preparation, Electrowetting.",oai:arXiv.org:2110.00232,2021-10-01,"['cs.ET', 'cs.AR']"
"Towards Utilitarian Combinatorial Assignment with Deep Neural Networks
  and Heuristic Algorithms","This paper presents preliminary work on using deep neural networks to guide
general-purpose heuristic algorithms for performing utilitarian combinatorial
assignment. In more detail, we use deep learning in an attempt to produce
heuristics that can be used together with e.g., search algorithms to generate
feasible solutions of higher quality more quickly. Our results indicate that
our approach could be a promising future method for constructing such
heuristics.","Title: Progressing Towards Functional Combinatorial Assignments via Deep Neural Networks and Heuristic Algorithms

Revised Abstract: This study introduces initial investigations into the application of deep neural networks in steering universal heuristic algorithms for executing utilitarian combinatorial assignment. Specifically, we employ deep learning with the aim of developing heuristics that can complement search algorithms to rapidly produce superior quality feasible solutions. Our findings suggest that this method holds potential to be a future-effective strategy for the creation of such heuristics.",oai:arXiv.org:2107.00317,2021-07-01,['cs.AI']
Embarras de richesses in non-DLVO colloid interactions,"In its original formulation, the seminal Deryaguin-Landau-Verwey-Overbeek
(DLVO) theory of colloidal stability seemed like a simple but realistic
description of the world of colloid interactions in electrolyte solutions. It
is based on a straightforward superposition of the mean-field Poisson-Boltzmann
(PB) electrostatics with the electrodynamic van der Waals (vdW) interactions
driven by thermal and quantum fluctuations. However, subsequent developments
continued to reveal a much richer and deeper structure of fundamental
interactions on the nano- and micro-scale: the granularity and structure of the
solvent, charging equilibria of dissociable charge groups, inhomogeneous charge
distributions, the finite size of the ions, non-mean-field electrostatics,
ion-ion correlations, and more. Today, the original simplicity is gone and we
are left with an embarrassingly rich variety of interactions that defy simple
classification and reduction to a few fundamental mechanisms. In this
mini-review, we comment on the contemporary state-of-the-art picture of
colloidal interactions, in view of some recent progress in experiments.","Title: The Complexity of Non-DLVO Colloid Interactions: A Profusion of Wealth

Revised Abstract: Initially, the Deryaguin-Landau-Verwey-Overbeek (DLVO) theory provided a seemingly straightforward and realistic interpretation of colloidal stability in electrolyte solutions, integrating the Poisson-Boltzmann (PB) mean-field electrostatics and thermally and quantum fluctuation-driven van der Waals (vdW) interactions. However, continuing advancements have uncovered an increasingly intricate and profound framework of fundamental interactions at the nano and micro scales. These complexities encompass the granularity and structure of the solvent, charge equilibria of dissociable charge groups, uneven charge distributions, ion size considerations, non-mean-field electrostatics, and ion-ion correlations among others. The initial simplicity of the theory has been replaced by an overwhelmingly abundant array of interactions that resist simplistic categorization and reduction to basic mechanisms. This condensed review provides commentary on the current advanced understanding of colloidal interactions, taking into account recent experimental advancements.",oai:arXiv.org:2101.00187,2021-01-01,"['cond-mat.soft', 'cond-mat.stat-mech', 'physics.chem-ph']"
Stellar and accretion disk parameters of the close binary HD 50526,"We present a photometric and spectroscopic study of HD 50526, an ellipsoidal
binary member of the group Double Periodic Variable stars. Performing
data-mining in photometric surveys and conducting new spectroscopic
observations with several spectrographs during 2008 to 2015, we obtained
orbital and stellar parameters of the system. The radial velocities were
analyzed with the genetic PIKAIA algorithm, whereas Doppler tomography maps for
the H$\alpha$ and H$\beta$ lines were constructed with the Total Variation
Minimization code. An optimized simplex-algorithm was used to solve the
inverse-problem adjusting the light curve with the best stellar parameters for
the system. We find an orbital period of $6.701 \pm 0.001 ~\mathrm{d}$ and a
long photometric cycle of $191 \pm 2 ~\mathrm{d}$. We detected the spectral
features of the coldest star, and modeled it with a $\log{g} = 2.79 \pm 0.02
~\mathrm{dex}$ giant of mass $1.13 \pm 0.02 ~\mathrm{M_{\odot}}$ and effective
temperature $10500 \pm 125 ~\mathrm{K}$. In addition, we determine a mass ratio
$q= 0.206 \pm 0.033$ and that the hot star is a B-type dwarf of mass $5.48 \pm
0.02 ~\mathrm{M_{\odot}}$. The $V$-band orbital light curve can be modeled
including the presence of an accretion disk around the hotter star. This fills
the Roche lobe of the hotter star, and has a radius $14.74 \pm 0.02
~\mathrm{R_{\odot}}$ and temperature at the outer edge $9400 ~\mathrm{K}$. Two
bright spots located in the disk account for the global morphology of the light
curve. The Doppler tomography maps of H$\alpha$ and H$\beta$, reveal complex
structures of mass fluxes in the system.","Title: Analysis of Stellar and Accretion Disk Characteristics in the Close Binary HD 50526
Generated Abstract: This paper details a comprehensive photometric and spectroscopic exploration of HD 50526, a binary star system exhibiting ellipsoidal variations, grouped under Double Periodic Variable stars. Through meticulous data extraction from photometric surveys and fresh spectroscopic observations gathered from multiple spectrographs from 2008 to 2015, we were able to ascertain both the orbital and stellar properties of the system. The PIKAIA genetic algorithm was employed to scrutinize radial velocities, while the Doppler tomography maps for the Hα and Hβ lines were generated with the help of the Total Variation Minimization code. To resolve the inverse problem, we utilized an optimized simplex algorithm, aligning the light curve with the optimal stellar parameters of the system. Our findings indicated an orbital period of $6.701 \pm 0.001 ~\mathrm{d}$ and a protracted photometric cycle of $191 \pm 2 ~\mathrm{d}$. The spectral features of the cooler star were identified and modeled as a giant with a $\log{g} = 2.79 \pm 0.02 ~\mathrm{dex}$, mass of $1.13 \pm 0.02 ~\mathrm{M_{\odot}}$ and an effective temperature of $10500 \pm 125 ~\mathrm{K}$. Moreover, we established a mass ratio of $q= 0.206 \pm 0.033$ and characterized the hotter star as a B-type dwarf with a mass of $5.48 \pm 0.02 ~\mathrm{M_{\odot}}$. The $V$-band orbital light curve was successfully modeled considering the existence of an accretion disk around the hotter star, occupying the Roche lobe of the star, with a radius of $14.74 \pm 0.02 ~\mathrm{R_{\odot}}$ and an outer edge temperature of $9400 ~\mathrm{K}$. The overall light curve morphology could be explained by two luminous spots located on the disk. The Doppler tomography maps of Hα and Hβ disclose intricate mass flux structures within the system.",oai:arXiv.org:2109.00231,2021-09-01,['astro-ph.SR']
Industry Practice of Coverage-Guided Enterprise-Level DBMS Fuzzing,"As an infrastructure for data persistence and analysis, Database Management
Systems (DBMSs) are the cornerstones of modern enterprise software. To improve
their correctness, the industry has been applying blackbox fuzzing for decades.
Recently, the research community achieved impressive fuzzing gains using
coverage guidance. However, due to the complexity and distributed nature of
enterprise-level DBMSs, seldom are these researches applied to the industry.
  In this paper, we apply coverage-guided fuzzing to enterprise-level DBMSs
from Huawei and Bloomberg LP. In our practice of testing GaussDB and Comdb2, we
found major challenges in all three testing stages. The challenges are
collecting precise coverage, optimizing fuzzing performance, and analyzing root
causes. In search of a general method to overcome these challenges, we propose
Ratel, a coverage-guided fuzzer for enterprise-level DBMSs. With its
industry-oriented design, Ratel improves the feedback precision, enhances the
robustness of input generation, and performs an on-line investigation on the
root cause of bugs. As a result, Ratel outperformed other fuzzers in terms of
coverage and bugs. Compared to industrial black box fuzzers SQLsmith and
SQLancer, as well as coverage-guided academic fuzzer Squirrel, Ratel covered
38.38%, 106.14%, 583.05% more basic blocks than the best results of other three
fuzzers in GaussDB, PostgreSQL, and Comdb2, respectively. More importantly,
Ratel has discovered 32, 42, and 5 unknown bugs in GaussDB, Comdb2, and
PostgreSQL.","Title: Implementation and Evaluation of Ratel: A Coverage-Guided Fuzzer for Enterprise-Level DBMSs

Revised Abstract: Database Management Systems (DBMSs) form the backbone of contemporary enterprise software, functioning as platforms for data retention and scrutiny. To enhance their accuracy, blackbox fuzzing has been a long-established industrial practice. Recently, impressive advancements in fuzzing have been made through coverage guidance by the research fraternity. Nevertheless, the intricate and fragmented nature of enterprise-level DBMSs often precludes the application of these research findings in the industry. 
This study explores the application of coverage-guided fuzzing to enterprise-level DBMSs, specifically GaussDB and Comdb2 utilised by Huawei and Bloomberg LP. The investigation encountered significant hurdles in the three crucial stages of testing: gathering accurate coverage, boosting fuzzing efficiency, and root cause analysis. To address these issues, the paper introduces Ratel, a novel coverage-guided fuzzer specifically designed for enterprise-level DBMSs. Ratel improves feedback accuracy, strengthens the generation of robust input, and conducts real-time investigations to identify bug root causes, thereby outperforming other fuzzers in terms of coverage and bug identification. When compared to industry standard black box fuzzers such as SQLsmith and SQLancer, and the coverage-guided academic fuzzer Squirrel, Ratel demonstrated superior performance, covering 38.38%, 106.14%, 583.05% more basic blocks in GaussDB, PostgreSQL, and Comdb2 respectively. Moreover, Ratel was successful in identifying 32, 42, and 5 previously undiscovered bugs in GaussDB, Comdb2, and PostgreSQL correspondingly.",oai:arXiv.org:2103.00804,2021-03-01,['cs.SE']
"Multiple solutions for a class of quasilinear problems with double
  criticality","We establish multiplicity results for the following class of quasilinear
problems $$ \left\{ \begin{array}{l} -\Delta_{\Phi}u=f(x,u) \quad \mbox{in}
\quad \Omega, \\ u=0 \quad \mbox{on} \quad \partial \Omega, \end{array} \right.
\leqno{(P)} $$ where $\Delta_{\Phi}u=\text{div}(\varphi(x,|\nabla u|)\nabla u)$
for a generalized N-function $\Phi(x,t)=\int_{0}^{|t|}\varphi(x,s)s\,ds$. We
consider $\Omega\subset\mathbb{R}^N$ to be a smooth bounded domain that
contains two disjoint open regions $\Omega_N$ and $\Omega_p$ such that
$\overline{\Omega_N}\cap\overline{\Omega_p}=\emptyset$. The main feature of the
problem $(P)$ is that the operator $-\Delta_{\Phi}$ behaves like $-\Delta_N$ on
$\Omega_N$ and $-\Delta_p$ on $\Omega_p$. We assume the nonlinearity
$f:\Omega\times\mathbb{R}\to\mathbb{R}$ of two different types, but both
behaves like $e^{\alpha|t|^\frac{N}{N-1}}$ on $\Omega_N$ and $|t|^{p^*-2}t$ on
$\Omega_p$ as $|t|$ is large enough, for some $\alpha>0$ and
$p^*=\frac{Np}{N-p}$ being the critical Sobolev exponent for $1<p<N$. In this
context, for one type of nonlinearity $f$, we provide multiplicity of solutions
in a general smooth bounded domain and for another type of nonlinearity $f$, in
an annular domain $\Omega$, we establish existence of multiple solutions for
the problem $(P)$ that are nonradial and rotationally nonequivalent.","Title: Numerous Solutions for a Category of Quasilinear Problems with Double Criticality

Revised Abstract: This study demonstrates the existence of multiple solutions for a given set of quasilinear problems, represented as $$ \left\{ \begin{array}{l} -\Delta_{\Phi}u=f(x,u) \quad \mbox{in}
\quad \Omega, \\ u=0 \quad \mbox{on} \quad \partial \Omega, \end{array} \right.
\leqno{(P)} $$ where $\Delta_{\Phi}u=\text{div}(\varphi(x,|\nabla u|)\nabla u)$
is derived from an extended N-function $\Phi(x,t)=\int_{0}^{|t|}\varphi(x,s)s\,ds$. Our focus is on $\Omega\subset\mathbb{R}^N$, a smooth bounded domain inclusive of two separate open regions $\Omega_N$ and $\Omega_p$ such that
$\overline{\Omega_N}\cap\overline{\Omega_p}=\emptyset$. A significant characteristic of the problem $(P)$ is the operator $-\Delta_{\Phi}$'s behavior, which resembles $-\Delta_N$ on
$\Omega_N$ and $-\Delta_p$ on $\Omega_p$. The nonlinearity
$f:\Omega\times\mathbb{R}\to\mathbb{R}$ is contemplated to be of two distinct types, both behaving as $e^{\alpha|t|^\frac{N}{N-1}}$ on $\Omega_N$ and $|t|^{p^*-2}t$ on
$\Omega_p$ when $|t|$ is sufficiently large, given $\alpha>0$ and
$p^*=\frac{Np}{N-p}$ as the critical Sobolev exponent for $1<p<N$. In this setting, we identify multiple solutions within a general smooth bounded domain for one type of nonlinearity $f$, and for another type of nonlinearity $f$, within an annular domain $\Omega$, we confirm the existence of multiple, non-radial, and rotationally nonequivalent solutions for the problem $(P)$.",oai:arXiv.org:2107.00331,2021-07-01,['math.AP']
"Achromatic photonic tricouplers for application in nulling
  interferometry","Integrated-optic components are being increasingly used in astrophysics,
mainly where accuracy and precision are paramount. One such emerging technology
is nulling interferometry that targets high contrast and high angular
resolution. Two of the most critical limitations encountered by nullers are
rapid phase fluctuations in the incoming light causing instability in the
interference and chromaticity of the directional couplers that prevent a deep
broadband interferometric null. We explore the use of a tricoupler designed by
ultrafast laser inscription that solves both issues. Simulations of a
tricoupler, incorporated into a nuller, result in order of a magnitude
improvement in null depth.","Title: Utilization of Achromatic Photonic Tricouplers in Nulling Interferometry

Rewritten Abstract: The use of integrated-optic components in the field of astrophysics has been on the rise, largely due to their enhanced accuracy and precision. A notable technology in this domain is nulling interferometry, which aims to achieve high contrast and superior angular resolution. However, nullers often face two major challenges: rapid phase fluctuations in incoming light that lead to interference instability, and the directional couplers' chromaticity that hinders deep broadband interferometric null. This study investigates the potential of an ultrafast laser-inscribed tricoupler to address these issues. Incorporating a tricoupler into a nuller, according to our simulations, results in a significant improvement in null depth by an order of magnitude.",oai:arXiv.org:2106.00251,2021-06-01,['astro-ph.IM']
NeuTex: Neural Texture Mapping for Volumetric Neural Rendering,"Recent work has demonstrated that volumetric scene representations combined
with differentiable volume rendering can enable photo-realistic rendering for
challenging scenes that mesh reconstruction fails on. However, these methods
entangle geometry and appearance in a ""black-box"" volume that cannot be edited.
Instead, we present an approach that explicitly disentangles
geometry--represented as a continuous 3D volume--from appearance--represented
as a continuous 2D texture map. We achieve this by introducing a 3D-to-2D
texture mapping (or surface parameterization) network into volumetric
representations. We constrain this texture mapping network using an additional
2D-to-3D inverse mapping network and a novel cycle consistency loss to make 3D
surface points map to 2D texture points that map back to the original 3D
points. We demonstrate that this representation can be reconstructed using only
multi-view image supervision and generates high-quality rendering results. More
importantly, by separating geometry and texture, we allow users to edit
appearance by simply editing 2D texture maps.","Title: NeuTex: The Application of Neural Texture Mapping in Volumetric Neural Rendering

Revised Abstract: Prior research has displayed how the amalgamation of volumetric scene representations and differentiable volume rendering can facilitate the photo-realistic rendering in complex scenes where mesh reconstruction becomes ineffective. Nevertheless, these techniques intertwine geometry and appearance within an uneditable ""black-box"" volume. Contrarily, our research introduces a method that distinctly separates geometry, depicted as a continuous 3D volume, and appearance, illustrated as a continuous 2D texture map. This is accomplished by incorporating a 3D-to-2D texture mapping (or surface parameterization) network into volumetric representations. We further regulate this texture mapping network with an extra 2D-to-3D inverse mapping network and a novel cycle consistency loss to ensure that 3D surface points correspond to 2D texture points that map back to the originating 3D points. Our findings show that this representation can be reconstructed utilizing solely multi-view image supervision, generating high-caliber rendering outcomes. Crucially, by differentiating geometry and texture, we enable users to modify appearance by merely editing 2D texture maps.",oai:arXiv.org:2103.00762,2021-03-01,['cs.CV']
"On the application of matrix congruence to QUBO formulations for systems
  of linear equations","Recent studies on quantum computing algorithms focus on excavating features
of quantum computers which have potential for contributing to computational
model enhancements. Among various approaches, quantum annealing methods
effectively parallelize quadratic unconstrained binary optimization (QUBO)
formulations of systems of linear equations. In this paper, we simplify these
formulations by exploiting congruence of real symmetric matrices to diagonal
matrices. We further exhibit computational merits of the proposed QUBO models,
which can outperform classical algorithms such as QR and SVD decomposition.","Title: Utilizing Matrix Congruence in QUBO Formulations for Linear Equation Systems

New Abstract: Contemporary research in quantum computing algorithms is centered around the exploration of characteristics inherent to quantum computers that hold promise in augmenting computational models. Among a plethora of methods, the use of quantum annealing techniques to concurrently process quadratic unconstrained binary optimization (QUBO) formulations for systems of linear equations has been found to be particularly effective. This study aims to streamline these formulations through the application of congruence in real symmetric matrices to diagonal matrices. Further, it elucidates the computational advantages of the suggested QUBO models, demonstrating their ability to surpass traditional algorithms like QR and SVD decomposition.",oai:arXiv.org:2111.00747,2021-11-01,['quant-ph']
